,osm_id,name,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,building
173506603,173506603,DeLuca Biochemical Sciences Building,NA,NA,NA,440,NA,NA,Henry Mall,university
173508078,173508078,Plant Sciences,Madison,NA,NA,1575,NA,WI,Linden Drive,university
173709889,173709889,Dejope Residence Hall,Madison,US,NA,640,53706-1134,WI,Elm Drive,dormitory
173710620,173710620,Adams Residence Hall,Madison,NA,NA,1520,53706,WI,Tripp Circle,dormitory
173711252,173711252,Lot 35,NA,NA,NA,NA,NA,NA,NA,NA
173711254,173711254,NA,NA,NA,NA,NA,NA,NA,NA,NA
174188348,174188348,NA,NA,NA,NA,NA,NA,NA,NA,NA
174188351,174188351,Lot 131,NA,NA,NA,NA,NA,NA,NA,NA
174188355,174188355,Signe Skott Cooper Hall,NA,NA,NA,701,NA,NA,Highland Avenue,university
174188357,174188357,NA,NA,NA,NA,NA,NA,NA,NA,NA
174188358,174188358,NA,NA,NA,NA,NA,NA,NA,NA,NA
174188359,174188359,NA,NA,NA,NA,NA,NA,NA,NA,NA
174311683,174311683,NA,NA,NA,NA,NA,NA,NA,NA,NA
174805020,174805020,NA,NA,NA,NA,NA,NA,NA,NA,NA
174817939,174817939,NA,NA,NA,NA,NA,NA,NA,NA,NA
